city,Latitute,Longitute,country
Sydney,-33.865,151.2094,Australia
Melbourne,-37.8136,144.9631,Australia
Brisbane,-27.4678,153.0281,Australia
Perth,-31.9522,115.8589,Australia
Adelaide,-34.9289,138.6011,Australia
Canberra,-35.2931,149.1269,Australia
