date_sold,locality,value
2019,Lalor,590323
2019,Lang Lang East,910000
2019,Langwarrin,615299
2019,Langwarrin South,1308333
2019,Launching Place,642928
2019,Laverton,521129
2019,Lilydale,655732
2019,Lower Plenty,828439
2019,Lynbrook,619312
2019,Lyndhurst,673491
2019,Lysterfield,1091906
2019,Lysterfield South,991000
2019,Macclesfield,1147500
2019,Macleod,850912
2019,Maidstone,647057
2019,Main Ridge,2590000
2019,Malvern,1677741
2019,Malvern East,1387852
2019,Manor Lakes,545687
2019,Maribyrnong,741601
2019,Maryknoll,907500
2019,McCrae,780752
2019,McKinnon,1216404
2019,McMahons Creek,373000
2019,Meadow Heights,467946
2019,Melbourne,526584
2019,Melton,381036
2019,Melton South,399152
2019,Melton West,435389
2019,Mentone,822321
2019,Menzies Creek,874911
2019,Mernda,576897
2019,Merricks,5200000
2019,Merricks Beach,1100000
2019,Merricks North,2555000
2019,Mickleham,550119
2019,Middle Park,1951136
2019,Mill Park,641768
2019,Millgrove,418194
2019,Mitcham,848372
2019,Monbulk,697188
2019,Monomeith,1025000
2019,Mont Albert,1214860
2019,Mont Albert North,1236008
2019,Montmorency,842952
2019,Montrose,750487
2019,Moonee Ponds,976773
2019,Moorabbin,933157
2019,Moorooduc,943250
2019,Mooroolbark,666037
2019,Mordialloc,826063
2019,Mornington,851700
2019,Mount Dandenong,810150
2019,Mount Eliza,1303710
2019,Mount Evelyn,652676
2019,Mount Martha,1087346
2019,Mount Toolebewong,605000
2019,Mount Waverley,1223005
2019,Mulgrave,839653
2019,Murrumbeena,837197
2019,Nar Nar Goon,638650
2019,Nar Nar Goon North,906500
2019,Narre Warren,575400
2019,Narre Warren East,1925000
2019,Narre Warren North,1222761
2019,Narre Warren South,654563
2019,Newport,1020235
2019,Niddrie,897307
2019,Noble Park,545875
2019,Noble Park North,624896
2019,North Melbourne,697657
2019,North Warrandyte,1091356
2019,Northcote,1098296
2019,Notting Hill,597444
2019,Nunawading,899447
2019,Oak Park,751021
2019,Oaklands Junction,956500
2019,Oakleigh,937601
2019,Oakleigh East,888771
2019,Oakleigh South,883148
2019,Officer,571454
2019,Officer South,665000
2019,Olinda,868196
2019,Ormond,985985
2019,Pakenham,492509
2019,Pakenham South,887500
2019,Pakenham Upper,840000
2019,Panton Hill,999417
2019,Park Orchards,1642238
2019,Parkdale,1005630
2019,Parkville,727161
2019,Pascoe Vale,725687
2019,Pascoe Vale South,915480
2019,Patterson Lakes,871236
2019,Pearcedale,674959
2019,Plenty,1440604
2019,Plumpton,435118
2019,Point Cook,642456
2019,Port Melbourne,1147811
2019,Portsea,2172000
2019,Powelltown,419400
2019,Prahran,902583
2019,Preston,781557
2019,Red Hill,1560278
2019,Red Hill South,1750000
2019,Reefton,370000
2019,Research,1070197
2019,Reservoir,676645
2019,Richmond,941313
2019,Ringwood,728133
2019,Ringwood East,728860
2019,Ringwood North,897536
2019,Ripponlea,663600
2019,Rockbank,498202
2019,Rosanna,917454
2019,Rosebud,608870
2019,Rowville,811053
2019,Roxburgh Park,537883
2019,Rye,764965
2019,Safety Beach,822288
2019,Sandhurst,818579
2019,Sandringham,1190502
2019,Sassafras,841542
2019,Scoresby,783523
2019,Seabrook,594885
2019,Seaford,620138
2019,Seaholme,1082261
2019,Seddon,955128
2019,Selby,697000
2019,Seville,663582
2019,Seville East,570125
2019,Sherbrooke,1187667
2019,Shoreham,1965000
2019,Silvan,897243
2019,Skye,616602
2019,Smiths Gully,1157500
2019,Somers,1110316
2019,Somerville,627930
2019,Sorrento,1861340
2019,South Kingsville,704372
2019,South Melbourne,935667
2019,South Morang,625880
2019,South Yarra,890851
2019,Southbank,650016
2019,Spotswood,904262
2019,Springvale,664200
2019,Springvale South,609058
2019,St Albans,556073
2019,St Andrews,926423
2019,St Andrews Beach,1099889
2019,St Helena,922115
2019,St Kilda,702317
2019,St Kilda East,799395
2019,St Kilda West,1099170
2019,Steels Creek,1480000
2019,Strathewen,1440000
2019,Strathmore,1205475
2019,Strathmore Heights,805917
2019,Strathtulloh,450167
2019,Sunbury,567095
2019,Sunshine,672926
2019,Sunshine North,655198
2019,Sunshine West,605841
2019,Surrey Hills,1512131
2019,Sydenham,534090
2019,Tarneit,546816
2019,Tarrawarra,2375000
2019,Taylors Hill,719763
2019,Taylors Lakes,781830
2019,Tecoma,637771
2019,Templestowe,1283205
2019,Templestowe Lower,1055253
2019,The Basin,696441
2019,The Patch,902654
2019,Thomastown,555069
2019,Thornbury,951981
2019,Three Bridges,690855
2019,Toolern Vale,735667
2019,Tooradin,782688
2019,Toorak,2440690
2019,Tootgarook,656228
2019,Travancore,575592
2019,Tremont,837500
2019,Truganina,559256
2019,Tullamarine,559972
2019,Tyabb,590080
2019,Tynong,758750
2019,Tynong North,735000
2019,Upper Ferntree Gully,653719
2019,Upwey,741479
2019,Vermont,957260
2019,Vermont South,1167963
2019,Viewbank,885371
2019,Wandin East,1175000
2019,Wandin North,690732
2019,Wantirna,874492
2019,Wantirna South,905236
2019,Warburton,524806
2019,Warneet,556188
2019,Warrandyte,1272430
2019,Warrandyte South,1760000
2019,Warranwood,979769
2019,Waterways,1209563
2019,Watsonia,718999
2019,Watsonia North,738169
2019,Wattle Glen,833778
2019,Weir Views,428759
2019,Werribee,507508
2019,Werribee South,650556
2019,Wesburn,777750
2019,West Footscray,684548
2019,West Melbourne,781364
2019,Westmeadows,573358
